,mean_value,mean_volumn,profit
sh600281,4044076115.9770117,18485929.46551724,-0.07446808510638298
sh600282,18568272693.550297,123850349.01775149,-0.04307692307692312
sh600283,5210124449.428572,15096712.051428571,-0.17338403041825104
sh600284,9941758326.857143,37508929.55428571,0.05179615705931489
sh600285,6217257896.778523,26933405.89261745,0.39857651245551595
sh600287,6033285350.342857,22967922.011428572,-0.2075149444918874
sh600288,9727707373.493977,24389989.81325301,0.36451897616946166
sh600289,9775095826.666666,35631539.872340426,0.3522954091816369
sh600290,6664404642.424242,18596796.848484848,0.02008032128514049
sh600291,10599469777.777779,18544743.47777778,0.02620689655172415
sh600292,16235669018.612717,16763940.606936416,-0.2791833111407014
sh600293,3747967303.2,18827367.11,0.204368174726989
sh600295,8639643657.142857,12320101.388571428,-0.23480083857442344
sh600297,28321301948.05195,9942735.103896104,0.5959780621572214
sh600298,9181590503.714285,9388771.388571428,0.4817327766179541
sh600299,8582790681.304348,7514950.360248447,0.4807480748074809
sh600300,12695250930.232557,55974571.97093023,0.026717557251908334
sh600301,2639240419.3103447,3911363.143678161,0.19395465994962216
sh600302,3316175143.9428573,11748503.434285713,0.05247376311844073
sh600303,4530287256.1267605,29898892.38028169,-0.027729636048526737
sh600305,7293540740.4,6680986.817142857,0.0987791342952276
sh600306,2857861559.012346,6395390.604938271,0.3402705515088451
sh600307,31917436346.416183,221839373.20231214,-0.020642201834862556
sh600308,6817294281.666667,41683477.626436785,0.014767932489451348
sh600309,49618861419.71429,33553728.331428573,-0.24214103653355987
sh600310,7819113715.361445,9613314.030120483,-0.5089337175792508
sh600311,5258846857.142858,39444268.64571428,-0.1804511278195489
sh600312,23611606713.18584,33272964.159292035,0.5144198524480214
sh600313,6014192283.9759035,11820768.072289156,-0.012237762237762132
sh600315,27924762706.329113,13265369.835443038,-0.042245692051139414
sh600316,23208504946.8,28114855.651428573,-0.3116246498599439
sh600317,36707700740.0,112256727.93142857,-0.010266940451745343
